31/01/2022,12:36:40,XXXX000-000,000000,0,,,,,
31/01/2022,12:41:39,XXXX000-000,000000,0,,,,,
31/01/2022,12:44:50,XXXX000-000,000000,0,,,,,
31/01/2022,13:21:56,XXXX000-000,000000,0,,,,,
31/01/2022,13:35:27,XXXX000-000,000000,0,,,,,
31/01/2022,13:49:28,XXXX000-000,000000,0,,,,,
31/01/2022,14:10:28,XXXX000-000,000000,0,,,,,
31/01/2022,14:32:06,XXXX000-000,000000,0,,,,,
31/01/2022,15:17:24,XXXX000-000,000000,0,,,,,
31/01/2022,15:25:52,XXXX000-000,000000,0,,,,,
31/01/2022,16:42:30,XXXX000-000,000000,0,,,,,
